,id,Zone_Name,Region_Name,District_Name,Ward_Name,Establishment_Name,Postal_Address,Street,Year_Started,ISICLev4,ISICLev4_Description,CPC_Code,CPC_Description,Tel_No,Mobile_No,Ownership_Description,Size_Class_Description,Employment,Subsector,Manufacturing_Classification
35,36,Central zone,Dodoma,Mpwapwa ,Mazae,ABUU MILLING MACHINE,,KISOKWE,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),654736873,,Private,Micro,2,Manufacturing,Agro-Processing
36,37,Central zone,Dodoma,Kondoa ,Kondoa Mjini,ABUU RAJAB MWISE,,MAJI YA SHAMBA,2014.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,782214544,,Private,Micro,2,Manufacturing,Agro-Processing
37,38,Central zone,Dodoma,Dodoma Mjini,Hombolo,ADAM NDALO,607,BWAWANI B,2006.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",754352586,,Private,Micro,2,Manufacturing,Wood and Woods Products
38,39,Central zone,Dodoma,Dodoma Mjini,Viwandani,ADAM NYATUNYI,,SABASABA,2012.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",756508559,,Private,Micro,2,Manufacturing,Textile and Apparel
39,40,Central zone,Dodoma,Chemba ,Churuku,ADAM SAIDI KIJUU,180,KWA MSAMI,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
40,41,Central zone,Dodoma,Mpwapwa ,Mpwapwa Mjini,ADAMU MOHAMED KILANGO,301,STAND YA ZAMANI,1997.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",,,Private,Micro,2,Manufacturing,Textile and Apparel
41,42,Central zone,Dodoma,Chemba ,Kimaha,ADAMU TALAKA,312,CHANGOMBE,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
42,43,Central zone,Dodoma,Mpwapwa ,Lumuma,ADINAN RASHID BARAZA (KANALI),297,KATI,2009.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
43,44,Central zone,Dodoma,Kongwa ,Kibaigwa,ADIWANI RAMADHANI OIL MILL,,KARUME,2014.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,784681671,,Private,Micro,2,Manufacturing,Agro-Processing
44,45,Central zone,Dodoma,Dodoma Mjini,Mnadani,ADOL PHINA NGONYANI,,KARUME,2014.0,1392,"Manufacture of made-up textile articles, except apparel",39217,Worn clothing and other worn textile articles,,,Private,Micro,2,Manufacturing,Textile and Apparel
45,46,Central zone,Dodoma,Kongwa ,Kibaigwa,ADOLF ABDI SAID,,BWAWANI,2013.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,752146467,,Private,Micro,2,Manufacturing,Agro-Processing
46,47,Central zone,Dodoma,Kongwa ,Kibaigwa,ADOLF ABDI SAID,,BWAWANI,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Small,10,Manufacturing,Agro-Processing
47,48,Central zone,Dodoma,Kongwa ,Kibaigwa,ADOLF SAID ABDI JUMA,,BWAWANI,2007.0,1030,Processing and preserving of fruit and vegetables,23140,Other cereal grain products (including corn flakes),,,Private,Small,10,Manufacturing,Agro-Processing
48,49,Central zone,Dodoma,Kongwa ,Kibaigwa,ADOLF SAID ABDI JUMA,,BWAWANI,2012.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,,,Private,Small,10,Manufacturing,Agro-Processing
49,50,Central zone,Dodoma,Chamwino ,Segala,ADOLF TAILO,,KAWAWA,2008.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),785631390,,Private,Micro,2,Manufacturing,Agro-Processing
50,51,Central zone,Dodoma,Kongwa ,Sejeli,ADRER LENJIMA,,MLIMAGA,2013.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",765176889,,Private,Micro,2,Manufacturing,Textile and Apparel
51,52,Central zone,Dodoma,Mpwapwa ,Chipogoro,ADRIAKO JOSEPH KISWILI CARPENTRY,23,JAMHURI,2010.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",762623293,,Private,Micro,2,Manufacturing,Wood and Woods Products
52,53,Central zone,Dodoma,Mpwapwa ,Mpwapwa Mjini,ADRIAN MBILINYI,202,ILOLO,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),784601131,,Private,Micro,2,Manufacturing,Agro-Processing
53,54,Central zone,Dodoma,Mpwapwa ,Mazae,ADRIAN MSIGALA TELEMKA,48,KISOKWE,2008.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
54,55,Central zone,Dodoma,Mpwapwa ,Mazae,ADRIAN WLLIAM NYAGAUYA,,SOSOLEKA,2011.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
55,56,Central zone,Dodoma,Dodoma Mjini,Ipagala,ADROFU SHAYO,,SWASAWA,2013.0,2395,"Manufacture of articles of concrete, cement and plaster",37117,"Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",759173540,,Private,Micro,2,Manufacturing,Building and Construction Materials
56,57,Central zone,Dodoma,Chamwino ,Makang'wa,AFRED PETRO LUNGWA,,NYERERE A,2014.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Small,5,Manufacturing,Metal and Metal Products
57,58,Central zone,Dodoma,Mpwapwa ,Kibakwe,AGAPITA ANACLET MKADA MILLS,,IKONGOLA,2011.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
58,59,Central zone,Dodoma,Chamwino ,Mvumi Mission,AGATHA DAUDI MOGWA,23,KATI'A',2014.0,1399,Manufacture of other textiles n.e.c.,88219,Other textile manufacturing services n.e.c.,,,Private,Micro,2,Manufacturing,Textile and Apparel
59,60,Central zone,Dodoma,Dodoma Mjini,Kiwanja cha Ndege,AGNETA EDWARD,,MLIMWA/AREA O,2011.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",784720317,,Private,Micro,2,Manufacturing,Textile and Apparel
60,61,Central zone,Dodoma,Dodoma Mjini,Hazina,AGNETA MASEKO,2149,HAZINA,2000.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),762898961,,Private,Micro,2,Manufacturing,Agro-Processing
61,62,Central zone,Dodoma,Bahi ,Mwitikira,AGREY CHILLEWA,2993,,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
62,63,Central zone,Dodoma,Dodoma Mjini,Makutupora,AGRO DODOMA LTD,2971,UZUNGUNI,2009.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),787978285,,Private,Small,5,Manufacturing,Agro-Processing
63,64,Central zone,Dodoma,Dodoma Mjini,Chamwino,AGU CONCRETE DESIGNERS,222,MAILI MBILI,2009.0,2395,"Manufacture of articles of concrete, cement and plaster",37117,"Paving blocks, bricks, tiles and other articles of pressed or moulded glass, of a kind used for building or construction purposes; leaded lights and the like; multicellular or foam glass in blocks, plates or similar forms",767437266,784437266,Private,Small,10,Manufacturing,Building and Construction Materials
64,65,Central zone,Dodoma,Dodoma Mjini,Viwandani,AHMAD KIDOGO,,BARUTI/AIRPORT,2014.0,2599,Manufacture of other fabricated metal products n.e.c.,88739,Other fabricated metal product manufacturing services n.e.c.,,,Private,Micro,2,Manufacturing,Metal and Metal Products
65,66,Central zone,Dodoma,Dodoma Mjini,Mpunguzi,AHMED AWADH,1249,NYERERE,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),786064863,,Private,Micro,2,Manufacturing,Agro-Processing
66,67,Central zone,Dodoma,Chamwino ,Buigiri,AHMED NGOYI MASHINE,,SOKOINE,2008.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),752351532,,Private,Micro,2,Manufacturing,Agro-Processing
67,68,Central zone,Dodoma,Kongwa ,Songambele,AINEA A. MESSO,120,MWONGOZO,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
68,69,Central zone,Dodoma,Kondoa ,Kondoa Mjini,AISHA KAITA,,MNARANI,2014.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",681333133,,Private,Micro,2,Manufacturing,Textile and Apparel
69,70,Central zone,Dodoma,Dodoma Mjini,Ntyuka,AISHA MOHAMED TAILORING,49,NYERERE,2012.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",717133503,,Private,Micro,2,Manufacturing,Textile and Apparel
70,71,Central zone,Dodoma,Dodoma Mjini,Kizota,AKSA EMONYO MGANGA,,NKUHUNGU SALAMA,2014.0,1399,Manufacture of other textiles n.e.c.,88219,Other textile manufacturing services n.e.c.,,,Private,Micro,2,Manufacturing,Textile and Apparel
71,72,Central zone,Dodoma,Dodoma Mjini,Kizota,AL JUDI AGRO PROGESSOR,2674,AREA A (KIZOTA),2009.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,754923669,,Private,Micro,2,Manufacturing,Agro-Processing
72,73,Central zone,Dodoma,Kondoa ,Kondoa Mjini,ALAWADH BAKERY,197,MNARANI,2012.0,1071,Manufacture of bakery products,23410,"Crispbread; rusks, toasted bread and similar toasted products",782600370,,Private,Small,5,Manufacturing,Agro-Processing
73,74,Central zone,Dodoma,Dodoma Mjini,Uhuru,ALBERT MACHAKA,,BARABARA YA 6,2014.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",755261621,,Private,Micro,2,Manufacturing,Textile and Apparel
74,75,Central zone,Dodoma,Mpwapwa ,Ipera,ALBERT RAIS KAYAULA,208,MAJENGO,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),786819584,,Private,Micro,2,Manufacturing,Agro-Processing
75,76,Central zone,Dodoma,Mpwapwa ,Chunyu,ALBETO ANDRIAN MSIGALLA,12,ILINGO,2010.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
76,77,Central zone,Dodoma,Mpwapwa ,Mpwapwa Mjini,ALDO FAUSTINE MWIKOLA,124,MHINDINI,1998.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",0765 508380,0765 508380,Private,Micro,2,Manufacturing,Wood and Woods Products
77,78,Central zone,Dodoma,Mpwapwa ,Mpwapwa Mjini,ALEX ELIAS MZELINGWA,,STAND YA ZAMANI,2013.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",654296134,,Private,Micro,2,Manufacturing,Textile and Apparel
78,79,Central zone,Dodoma,Mpwapwa ,Luhundwa,ALEX ELIAZER LYAKUSASA,,GHALANI 'B',2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
79,80,Central zone,Dodoma,Kongwa ,Kibaigwa,ALEX ISAYA MLAY MILLING MACHINE,,KARUME (SOKOINE),2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),712591968,,Private,Micro,2,Manufacturing,Agro-Processing
80,81,Central zone,Dodoma,Dodoma Mjini,Chang'ombe,ALEX JOHN,3229,CHANG'OMBE JUU,2008.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
81,82,Central zone,Dodoma,Dodoma Mjini,Majengo,ALEX LUKUMAI MILLS,,FARU,2002.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),713151959,,Private,Micro,2,Manufacturing,Agro-Processing
82,83,Central zone,Dodoma,Chamwino ,Itiso,ALEX MSAFIRI,1126,MTAKUJA,2012.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),784994624,,Private,Micro,2,Manufacturing,Agro-Processing
83,84,Central zone,Dodoma,Kongwa ,Kibaigwa,ALEX MUSSA CHIVYO,,NYERERE A,2005.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",767003705,,Private,Micro,2,Manufacturing,Textile and Apparel
84,85,Central zone,Dodoma,Dodoma Mjini,Kikuyu Kaskazini,ALEX NYINGE,,KIKUYU,2011.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",874538381,,Private,Micro,2,Manufacturing,Wood and Woods Products
85,86,Central zone,Dodoma,Dodoma Mjini,Hombolo,ALFA UGUZI,,MAZENGO,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
86,87,Central zone,Dodoma,Mpwapwa ,Mtera,ALFRED ANORD LUHEMBE,4401,CHINOSE,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
87,88,Central zone,Dodoma,Dodoma Mjini,Kikuyu Kaskazini,ALFRED FODOGO,3097,KIKUYU MISHENI,2006.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),755443241,,Private,Micro,2,Manufacturing,Agro-Processing
88,89,Central zone,Dodoma,Mpwapwa ,Chipogoro,ALFRED MUSSA NDEJEULAYA,4401,AZIMIO,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),682727896,,Private,Micro,2,Manufacturing,Agro-Processing
89,90,Central zone,Dodoma,Kongwa ,Makawa,ALHA YOHANA,136,MAKAWA,2013.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,687051828,,Private,Micro,2,Manufacturing,Agro-Processing
90,91,Central zone,Dodoma,Dodoma Mjini,Tambukareli,ALKO VINTAGES CO LTD,,CENTRAL BUSINESS PARK,1996.0,1102,Manufacture of wines,24212,"Wine of fresh grapes, except sparkling wine; grape must",,,Private,Small,20,Manufacturing,Agro-Processing
91,92,Central zone,Dodoma,Dodoma Mjini,Tambukareli,ALKO VINTAGES CO. LTD,154,CENTRA BUSINESS PARK,2007.0,1102,Manufacture of wines,24212,"Wine of fresh grapes, except sparkling wine; grape must",,,Private,Small,5,Manufacturing,Agro-Processing
92,93,Central zone,Dodoma,Dodoma Mjini,Tambukareli,ALKO VINTAGES CO.LTD,,,1996.0,1102,Manufacture of wines,24212,"Wine of fresh grapes, except sparkling wine; grape must",754267811,,Private,Small,20,Manufacturing,Agro-Processing
93,94,Central zone,Dodoma,Kongwa ,Songambele,ALLAN MGONDE,81,ISANGHA,2002.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),788567309,,Private,Micro,2,Manufacturing,Agro-Processing
94,95,Central zone,Dodoma,Mpwapwa ,Lupeta,ALLEN UHUGILE MILLS,,,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),784490693,,Private,Micro,2,Manufacturing,Agro-Processing
95,96,Central zone,Dodoma,Dodoma Mjini,Uhuru,ALLUN SEAT COVER,,KINYONGA,2002.0,2219,Manufacture of other rubber products,36220,"Unvulcanized compounded rubber, in primary forms or in plates, sheets or strip; unvulcanized rubber in forms other than primary forms or plates, sheets or strip (except ""camel-back"" strips for retreading rubber tyres); articles of unvulcanized rubber; thread, cord, plates, sheets, strip, rods and profile shapes, of vulcanized rubber other than hard rubber",,,Private,Micro,2,Manufacturing,Chemical and Petrochemicals Products
96,97,Central zone,Dodoma,Mpwapwa ,Malolo,ALLY ABDALLAH SAUGE,,MSASANI,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),686287806,,Private,Micro,2,Manufacturing,Agro-Processing
97,98,Central zone,Dodoma,Chemba ,Chandama,ALLY HASSAN,,MAGANDI,2008.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),,,Private,Micro,2,Manufacturing,Agro-Processing
98,99,Central zone,Dodoma,Chamwino ,Buigiri,ALLY HUSSEIN,,UKOMBOZI,2013.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
99,100,Central zone,Dodoma,Dodoma Mjini,Chang'ombe,ALLY ISSA RASHID,,CHANG'OMBE JUU,2013.0,2592,Treatment and coating of metals; machining,88731,Metal treatment and coating services,,,Private,Micro,2,Manufacturing,Metal and Metal Products
100,101,Central zone,Dodoma,Kondoa ,Bereko,ALLY JUMA MSALU,69,BEREKO MJINI,1996.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",682244450,,Private,Small,5,Manufacturing,Wood and Woods Products
101,102,Central zone,Dodoma,Chemba ,Paranga,ALLY JUMA RASHID,830,MAGHARIBI OFISI,2009.0,1040,Manufacture of vegetable and animal oils and fats,88140,Vegetable and animal oil and fat manufacturing services,,,Private,Micro,2,Manufacturing,Agro-Processing
102,103,Central zone,Dodoma,Dodoma Mjini,Hazina,ALLY KITUMBIKA,3530,MLEZI,1988.0,3100,Manufacture of furniture,38122,"Other wooden furniture, of a kind used in offices",759469179,,Private,Micro,2,Manufacturing,Wood and Woods Products
103,104,Central zone,Dodoma,Mpwapwa ,Ving'hawe,ALLY MADEBE,12,MABALANGU,1990.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),712036635,,Private,Micro,2,Manufacturing,Agro-Processing
104,105,Central zone,Dodoma,Dodoma Mjini,Uhuru,ALLY MALUWA,,MWANZA AVENUE,2013.0,1410,"Manufacture of wearing apparel, except fur apparel",28210,"Panty hose, tights, stockings, socks and other hosiery, knitted or crocheted",717701964,,Private,Small,5,Manufacturing,Textile and Apparel
105,106,Central zone,Dodoma,Kongwa ,Hogoro,ALLY MFAUME MPAGAYE,43,IKULU,2013.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),685104787,,Private,Micro,2,Manufacturing,Agro-Processing
106,107,Central zone,Dodoma,Kongwa ,Kibaigwa,ALLY MFAUME MPAYAGE,,MALECHELA,2006.0,1061,Manufacture of grain mill products,23140,Other cereal grain products (including corn flakes),782665135,,Private,Micro,2,Manufacturing,Agro-Processing
